"696","101"
"612","123"
"795","123"
"376","130"
"558","130"
"902","130"
"338","133"
"852","133"
"258","137"
"629","139"
"958","139"
"760","169"
"224","227"
"362","242"
"544","254"
"694","254"
"774","258"
"852","267"
"747","272"
"272","275"
"242","304"
"545","318"
"998","319"
"843","324"
"628","340"
"403","345"
"780","345"
"403","352"
"618","352"
"486","371"
"820","371"
"292","399"
"411","401"
"276","403"
"591","403"
"158","408"
"324","408"
"496","416"
"704","416"
"608","421"
"692","426"
"496","443"
"875","458"
"586","468"
"241","486"
"582","487"
"496","489"
"664","489"
"947","494"
"559","500"
"457","544"
"656","559"
"242","594"
"991","598"
"877","599"
"169","603"
"349","612"
"239","628"
"864","634"
"353","647"
"656","659"
"399","664"
"802","666"
"631","681"
"353","694"
"359","694"
"362","696"
"458","696"
"544","702"
"664","704"
"313","731"
"603","735"
"958","735"
"830","748"
"692","761"
"774","769"
"692","774"
"805","774"
"209","780"
"793","791"
"647","792"
"792","814"
"359","818"
"841","818"
"133","852"
"338","852"
"443","852"
"324","857"
"608","864"
"634","864"
"392","875"
"254","877"
"747","927"
"545","947"
"804","947"
"972","958"
"810","966"
"958","969"
"236","984"
"663","998"
